title:Table Of Spirits
parent:pact-magic
[[toc]]

**Wiki Note:** You can click the header for each table to jump right to the page containing that spirit.

+ [[[1st level Spirits]]]
||~ Spirit Name & Title ||~ Alignment ||~ Constellation ||~ Major Granted Ability ||~ Minor Granted Abilities || 
|| Achaelous: The Slumbering God || CN || Tree || Reckless charge || Athleticism, command rivers, misleading mist, partial transformation || 
|| Aza’zati: The Green Wyrmling || LE || Dragon || Acid gout || Curious edge, sniff gold, smaller is better, wyrmling’s skin || 
|| Cave Mother: Sorceress of Secrets || N || Mage || Ghoulish fire || Deceptive knack, gather provisions, read the signs, undead bane || 
|| Coralene: Sovereign of Silver || CN || Thief || Unexpected slip || Coralene’s command, master of subterfuge, silver sheen, trackless step || 
|| Dantalios: The Broken Athlete || CN || Seer || Speed of Dantalios || Fleet, great charge, mighty throw, wrestling mastery || 
|| Eos Dei: The Lonely Archon || LG || Angel || Scramble time || Crushing loneliness, hypnotic melody, song of stolen memories, time sense || 
|| Forash: Prince of Spirits || LE || Fiend || Summon fiend || Disappear, Forash’s lore, lion’s roar, unsettling presence || 
|| General Hessant: Patron of Lost Soldiers || LE || Noble || Hessant’s punishment || Courage of the general, dazing strike, empower longsword, iron gaze || 
|| Gwenolyn’s Ghost: The Haunting Lover || NG || Skull || Spectral caress || Ghost hand, lover’s charms, overwhelming loss, speak with the departed || 
|| Jacques Gaston: The Dazzling Duelist || CN || Starless || Morituri te salutant || Moment of greatness, crowd pleaser, psychological warfare, vestigial audience || 
|| Marat: Guardian of Shields || LN || Hero || Defend the ward || Armor training, bodyguard, Marat’s body, Marat’s precautions || 
|| Milo of Clyde: Detective of Despair || LG || Scholar || Milo’s lucky break || Deft fingers, lead slinger, Milo’s truthtelling, street savvy || 
|| Sevnoir: The Meandering Mastiff || NE || Beast || Baying howl || Blood hunt, effortless intimidation, feast on fear, shadow blur || 
|| Verbose: She with Endless Names || NG || Starless || Surprise image || All tongues, friend to all, punch line, nature sense || 
|| Vishgurv: Aberrant of Time Eternal || LE || Dark Beyond || Slime slap || Aquatic assimilation, arcane absolution, pact of servitude, thrall shape || 
----
+ [[[2nd Level Spirits]]]
